"time","heart_rate"
2015-04-03 13:41:19,88
2015-04-03 13:41:24,85
2015-04-03 13:41:29,87
2015-04-03 13:41:34,85
2015-04-03 13:41:39,87
2015-04-03 13:41:44,90
2015-04-03 13:41:49,90
2015-04-03 13:41:54,93
2015-04-03 13:41:59,81
2015-04-03 13:42:04,75
2015-04-03 13:42:09,84
2015-04-03 13:42:14,79
2015-04-03 13:42:19,78
2015-04-03 13:42:24,81
2015-04-03 13:42:29,94
2015-04-03 13:42:34,99
2015-04-03 13:42:39,88
2015-04-03 13:42:44,79
2015-04-03 13:42:49,78
2015-04-03 13:42:54,76
2015-04-03 13:42:59,74
2015-04-03 13:43:04,74
2015-04-03 13:43:09,82
2015-04-03 13:43:14,75
2015-04-03 13:43:19,77
2015-04-03 13:43:24,78
2015-04-03 13:43:29,79
2015-04-03 13:43:34,79
2015-04-03 13:43:39,80
2015-04-03 13:43:44,84
2015-04-03 13:43:49,85
2015-04-03 13:43:54,86
2015-04-03 13:43:59,84
2015-04-03 13:44:04,84
2015-04-03 13:44:09,92
2015-04-03 13:44:14,92
2015-04-03 13:44:19,93
2015-04-03 13:44:24,91
2015-04-03 13:44:29,87
2015-04-03 13:44:34,83
2015-04-03 13:44:39,78
2015-04-03 13:44:44,78
2015-04-03 13:44:49,83
2015-04-03 13:44:54,82
2015-04-03 13:44:59,81
2015-04-03 13:45:04,78
2015-04-03 13:45:09,88
2015-04-03 13:45:14,85
2015-04-03 13:45:19,83
2015-04-03 13:45:24,82
2015-04-03 13:45:29,83
2015-04-03 13:45:34,82
2015-04-03 13:45:39,85
2015-04-03 13:45:44,85
2015-04-03 13:45:49,86
2015-04-03 13:45:54,84
2015-04-03 13:45:59,83
2015-04-03 13:46:04,83
2015-04-03 13:46:09,84
2015-04-03 13:46:14,85
2015-04-03 13:46:19,84
2015-04-03 13:46:24,86
2015-04-03 13:46:29,85
2015-04-03 13:46:34,84
2015-04-03 13:46:39,83
2015-04-03 13:46:44,87
2015-04-03 13:46:49,84
2015-04-03 13:46:54,83
2015-04-03 13:46:59,81
2015-04-03 13:47:04,83
2015-04-03 13:47:09,87
2015-04-03 13:47:14,88
2015-04-03 13:47:19,90
2015-04-03 13:47:24,85
2015-04-03 13:47:29,86
2015-04-03 13:47:34,85
2015-04-03 13:47:39,85
2015-04-03 13:47:44,86
2015-04-03 13:47:49,87
2015-04-03 13:47:54,86
2015-04-03 13:47:59,95
2015-04-03 13:48:04,97
2015-04-03 13:48:09,90
2015-04-03 13:48:14,82
2015-04-03 13:48:19,83
2015-04-03 13:48:24,86
2015-04-03 13:48:29,87
2015-04-03 13:48:34,86
2015-04-03 13:48:39,85
2015-04-03 13:48:44,84
2015-04-03 13:48:49,85
2015-04-03 13:48:54,87
2015-04-03 13:48:59,88
2015-04-03 13:49:04,88
2015-04-03 13:49:09,87
2015-04-03 13:49:14,88
2015-04-03 13:49:19,89
2015-04-03 13:49:24,89
2015-04-03 13:49:29,90
2015-04-03 13:49:34,94
2015-04-03 13:49:39,89
2015-04-03 13:49:44,86
2015-04-03 13:49:49,84
2015-04-03 13:49:54,90
2015-04-03 13:49:59,97
2015-04-03 13:50:04,90
2015-04-03 13:50:09,76
2015-04-03 13:50:14,82
2015-04-03 13:50:19,84
2015-04-03 13:50:24,84
2015-04-03 13:50:29,90
2015-04-03 13:50:34,89
2015-04-03 13:50:39,87
2015-04-03 13:50:44,87
2015-04-03 13:50:49,86
2015-04-03 13:50:54,91
2015-04-03 13:50:59,93
2015-04-03 13:51:04,93
2015-04-03 13:51:09,89
2015-04-03 13:51:14,92
2015-04-03 13:51:19,95
2015-04-03 13:51:24,96
2015-04-03 13:51:29,99
2015-04-03 13:51:34,90
2015-04-03 13:51:39,83
2015-04-03 13:51:44,77
2015-04-03 13:51:49,76
2015-04-03 13:51:54,95
2015-04-03 13:51:59,88
2015-04-03 13:52:04,90
2015-04-03 13:52:09,89
2015-04-03 13:52:14,86
2015-04-03 13:52:19,84
2015-04-03 13:52:24,85
2015-04-03 13:52:29,86
2015-04-03 13:52:34,85
2015-04-03 13:52:39,86
2015-04-03 13:52:44,91
2015-04-03 13:52:49,87
2015-04-03 13:52:54,89
2015-04-03 13:52:59,89
2015-04-03 13:53:04,83
2015-04-03 13:53:09,82
2015-04-03 13:53:14,80
2015-04-03 13:53:19,90
2015-04-03 13:53:24,83
2015-04-03 13:53:29,85
2015-04-03 13:53:34,85
2015-04-03 13:53:39,81
2015-04-03 13:53:44,84
2015-04-03 13:53:49,83
2015-04-03 13:53:54,80
2015-04-03 13:53:59,86
2015-04-03 13:54:04,85
2015-04-03 13:54:09,85
2015-04-03 13:54:14,85
2015-04-03 13:54:19,86
2015-04-03 13:54:24,86
2015-04-03 13:54:29,86
2015-04-03 13:54:34,87
2015-04-03 13:54:39,87
2015-04-03 13:54:44,91
2015-04-03 13:54:49,89
2015-04-03 13:54:54,89
2015-04-03 13:54:59,84
2015-04-03 13:55:04,82
2015-04-03 13:55:09,82
2015-04-03 13:55:14,85
2015-04-03 13:55:19,85
2015-04-03 13:55:24,85
2015-04-03 13:55:29,87
2015-04-03 13:55:34,84
2015-04-03 13:55:39,83
2015-04-03 13:55:44,86
2015-04-03 13:55:49,86
2015-04-03 13:55:54,83
2015-04-03 13:55:59,82
2015-04-03 13:56:04,82
2015-04-03 13:56:09,89
2015-04-03 13:56:14,86
2015-04-03 13:56:19,91
2015-04-03 13:56:24,84
2015-04-03 13:56:29,89
2015-04-03 13:56:34,89
2015-04-03 13:56:39,86
2015-04-03 13:56:44,86
2015-04-03 13:56:49,86
2015-04-03 13:56:54,90
2015-04-03 13:56:59,98
2015-04-03 13:57:04,105
2015-04-03 13:57:09,99
2015-04-03 13:57:14,93
2015-04-03 13:57:19,97
2015-04-03 13:57:24,103
2015-04-03 13:57:29,108
2015-04-03 13:57:34,107
2015-04-03 13:57:39,107
2015-04-03 13:57:44,103
2015-04-03 13:57:49,101
2015-04-03 13:57:54,102
2015-04-03 13:57:59,103
2015-04-03 13:58:04,103
2015-04-03 13:58:09,102
2015-04-03 13:58:14,99
2015-04-03 13:58:19,98
2015-04-03 13:58:24,101
2015-04-03 13:58:29,99
2015-04-03 13:58:34,100
2015-04-03 13:58:39,102
2015-04-03 13:58:44,106
2015-04-03 13:58:49,105
2015-04-03 13:58:54,106
2015-04-03 13:58:59,107
2015-04-03 13:59:04,104
2015-04-03 13:59:09,108
2015-04-03 13:59:14,104
2015-04-03 13:59:19,104
2015-04-03 13:59:24,100
2015-04-03 13:59:29,103
2015-04-03 13:59:34,105
2015-04-03 13:59:39,102
2015-04-03 13:59:44,105
2015-04-03 13:59:49,111
2015-04-03 13:59:54,116
2015-04-03 13:59:59,102
2015-04-03 14:00:04,100
2015-04-03 14:00:09,104
2015-04-03 14:00:14,109
2015-04-03 14:00:19,109
2015-04-03 14:00:24,113
2015-04-03 14:00:29,107
2015-04-03 14:00:34,104
2015-04-03 14:00:39,97
2015-04-03 14:00:44,103
2015-04-03 14:00:49,102
2015-04-03 14:00:54,100
2015-04-03 14:00:59,103
2015-04-03 14:01:04,103
2015-04-03 14:01:09,106
2015-04-03 14:01:14,105
2015-04-03 14:01:19,107
2015-04-03 14:01:24,103
2015-04-03 14:01:29,108
2015-04-03 14:01:34,105
2015-04-03 14:01:39,105
2015-04-03 14:01:44,105
2015-04-03 14:01:49,109
2015-04-03 14:01:54,107
2015-04-03 14:01:59,106
2015-04-03 14:02:04,108
2015-04-03 14:02:09,104
2015-04-03 14:02:14,106
2015-04-03 14:02:19,105
2015-04-03 14:02:24,97
2015-04-03 14:02:29,97
2015-04-03 14:02:34,94
2015-04-03 14:02:39,96
2015-04-03 14:02:44,99
2015-04-03 14:02:49,100
2015-04-03 14:02:54,102
2015-04-03 14:02:59,108
2015-04-03 14:03:04,113
2015-04-03 14:03:09,104
2015-04-03 14:03:14,90
2015-04-03 14:03:19,94
2015-04-03 14:03:24,101
2015-04-03 14:03:29,101
