"time","light","temperature"
2015-02-14 21:15:04,490.8,23.39
2015-02-14 21:30:04,493.5,23.39
2015-02-14 21:45:03,0,23.309
2015-02-14 22:00:04,0,23.3
2015-02-14 22:15:03,51.8,23.3
2015-02-14 22:30:03,286.7,23.13
2015-02-14 22:45:04,0,23.48
2015-02-14 23:00:04,0,23.3
2015-02-14 23:15:04,0,23.22
2015-02-14 23:30:04,0,23.13
2015-02-14 23:45:04,0,23.112
2015-02-15 00:00:04,0,23.13
2015-02-15 00:15:04,0,23.04
2015-02-15 00:30:04,0,23.48
2015-02-15 00:45:04,0,23.632
2015-02-15 01:00:04,0,22.1
2015-02-15 01:15:04,0,20.899
2015-02-15 01:30:04,0,20.03
2015-02-15 01:45:04,0,19.26
2015-02-15 02:00:04,0,18.678
2015-02-15 02:15:04,0,18.159
2015-02-15 02:30:03,0,17.81
2015-02-15 02:45:04,0,17.38
2015-02-15 03:00:04,0,17.04
2015-02-15 03:15:04,0,16.7
2015-02-15 03:30:04,0,16.44
2015-02-15 03:45:04,0,16.18
2015-02-15 04:00:04,0,15.93
2015-02-15 04:15:04,0,15.67
2015-02-15 04:30:03,0,15.5
2015-02-15 04:45:03,0,15.32
2015-02-15 05:00:04,0,15.15
2015-02-15 05:15:04,0,14.98
2015-02-15 05:30:03,0,14.89
2015-02-15 05:45:04,0,14.72
2015-02-15 06:00:04,0,14.55
2015-02-15 06:15:03,24,14.38
2015-02-15 06:30:04,122.5,14.29
2015-02-15 06:45:03,263,14.152
2015-02-15 07:00:04,379.1,14.12
2015-02-15 07:15:03,437,14.03
2015-02-15 07:30:03,470,13.958
2015-02-15 07:45:04,490.9,13.949
2015-02-15 08:00:04,513,13.86
2015-02-15 08:15:03,655,13.86
2015-02-15 08:30:04,743.5,14.12
2015-02-15 08:45:04,752,14.55
2015-02-15 09:00:03,753,15.07
2015-02-15 09:15:04,748.3,15.41
2015-02-15 09:30:04,743.3,15.67
2015-02-15 09:45:03,738,16.01
2015-02-15 10:00:03,733,16.18
2015-02-15 10:15:04,725.1,16.27
2015-02-15 10:30:03,714,16.35
2015-02-15 10:45:04,691.4,16.326
2015-02-15 11:00:04,664.8,16.278
2015-02-15 11:15:04,635,16.148
2015-02-15 11:30:04,731,16.027
2015-02-15 11:45:03,717,17.55
2015-02-15 12:00:03,712,18.41
2015-02-15 12:15:04,701,19.01
2015-02-15 12:30:04,691,19.61
2015-02-15 12:45:04,660.8,20.039
2015-02-15 13:00:04,651,20.46
2015-02-15 13:15:04,639.9,20.72
2015-02-15 13:30:04,633.7,20.98
2015-02-15 13:45:04,632,21.15
2015-02-15 14:00:04,632,21.58
2015-02-15 14:15:03,628,22.01
2015-02-15 14:30:03,640,22.1
2015-02-15 14:45:03,623,22.44
2015-02-15 15:00:03,617,22.53
2015-02-15 15:15:04,609.3,22.7
2015-02-15 15:30:04,601.1,22.78
2015-02-15 15:45:04,589.2,23.13
2015-02-15 16:00:04,570.7,23.102
2015-02-15 16:15:04,542,23.04
2015-02-15 16:30:03,497,23.318
2015-02-15 16:45:04,404.2,22.968
2015-02-15 17:00:04,556.9,23.22
2015-02-15 17:15:04,524.7,23.74
2015-02-15 17:30:04,520.8,23.22
2015-02-15 17:45:03,514.5,23.578
2015-02-15 18:00:04,511.4,23.39
2015-02-15 18:15:04,507.4,23.39
2015-02-15 18:30:03,511,23.04
2015-02-15 18:45:04,509.9,22.96
2015-02-15 19:00:04,508.1,22.96
2015-02-15 19:15:04,508.6,22.27
2015-02-15 19:30:04,500.6,22.18
2015-02-15 19:45:04,508.7,22.78
2015-02-15 20:00:04,516,22.53
2015-02-15 20:15:04,509.9,22.78
2015-02-15 20:30:04,510.7,22.976
2015-02-15 20:45:04,511.8,23.65
2015-02-15 21:00:03,506.1,23.058
2015-02-15 21:15:04,503.6,23.788
2015-02-15 21:30:04,501.8,24
2015-02-15 21:45:03,497.4,24
2015-02-15 22:00:04,502.8,24
2015-02-15 22:15:04,501.2,24.78
2015-02-15 22:30:03,498,24.26
2015-02-15 22:45:03,508.9,24.26
2015-02-15 23:00:04,508,24.17
2015-02-15 23:15:05,502.1,24.08
2015-02-15 23:30:04,496.6,24.502
2015-02-15 23:45:04,503.7,24.233
2015-02-16 00:00:04,502.2,24.78
2015-02-16 00:15:04,504.4,24.43
2015-02-16 00:30:04,0,23.56
2015-02-16 00:45:03,0,22.27
2015-02-16 01:00:04,0,21.15
2015-02-16 01:15:04,0,20.29
2015-02-16 01:30:03,0,19.52
2015-02-16 01:45:03,0,18.92
2015-02-16 02:00:04,0,18.32
2015-02-16 02:15:03,0,17.9
2015-02-16 02:30:04,0,17.47
2015-02-16 02:45:03,0,17.13
2015-02-16 03:00:04,0,16.78
2015-02-16 03:15:04,0,16.53
2015-02-16 03:30:04,0,16.27
2015-02-16 03:45:04,0,16.01
2015-02-16 04:00:04,0,15.75
2015-02-16 04:15:04,0,15.5
2015-02-16 04:30:03,0,15.32
2015-02-16 04:45:04,0,15.134
2015-02-16 05:00:04,0,14.89
2015-02-16 05:15:04,0,14.72
2015-02-16 05:30:04,0,14.55
2015-02-16 05:45:04,0,14.38
2015-02-16 06:00:03,0,14.29
2015-02-16 06:15:03,36,14.12
2015-02-16 06:30:03,182,14.03
2015-02-16 06:45:04,351.9,13.94
2015-02-16 07:00:04,504,13.86
2015-02-16 07:15:04,493.2,13.868
2015-02-16 07:30:04,515,13.77
2015-02-16 07:45:04,512.8,14.81
2015-02-16 08:00:04,579,16.7
2015-02-16 08:15:04,681.6,18.15
2015-02-16 08:30:04,756,18.75
2015-02-16 08:45:03,755.9,18.58
2015-02-16 09:00:04,755.3,18.24
2015-02-16 09:15:04,755,17.98
2015-02-16 09:30:04,755,17.98
2015-02-16 09:45:04,755.1,18.134
2015-02-16 10:00:04,755.2,18.24
